mph,alpha,beta,seq,baro,oat,dp0,dpA,dpB
73,0,30,33740,101172.15625,15.875,524.661255,49.401855,-847.695923
73,0,30,33741,101169.632812,15.875,364.44397,175.744629,-692.056274
73,0,30,33742,101190.6875,15.875,597.903442,-104.406738,-930.093384
73,0,30,33743,101205.320312,15.875,547.549438,73.205566,-917.276001
73,0,30,33744,101202.101562,15.875,494.448853,-11.022949,-782.693481
73,0,30,33745,101201.773438,15.875,462.405396,115.319824,-834.87854
73,0,30,33746,101192.757812,15.875,423.03772,83.276367,-704.873657
73,0,30,33747,101204.679688,15.875,459.658813,-0.036621,-817.483521
73,0,30,33748,101204.734375,15.875,627.200317,-55.883789,-840.371704
73,0,30,33749,101198.625,15.875,499.942017,-16.516113,-941.079712
73,0,30,33750,101184.101562,15.875,575.930786,23.76709,-916.360474
73,0,30,33751,101181.5625,15.875,471.560669,-15.600586,-836.709595
73,0,30,33752,101182.585938,15.8125,597.903442,-60.461426,-830.300903
73,0,30,33753,101192.820312,15.8125,638.186646,38.415527,-892.556763
73,0,30,33754,101194.65625,15.8125,635.440063,-19.262695,-963.967896
73,0,30,33755,101193.125,15.8125,491.702271,64.050293,-1150.735474
73,0,30,33756,101172.132812,15.8125,502.688599,32.922363,-1083.901978
73,0,30,33757,101156.625,15.8125,527.407837,141.870117,-1145.24231
73,0,30,33758,101156.78125,15.8125,621.707153,-19.262695,-939.248657
73,0,30,33759,101163.703125,15.8125,519.168091,136.376953,-908.120728
73,0,30,33760,101166.179688,15.8125,521.914673,32.922363,-1026.223755
73,0,30,33761,101171.0,15.8125,392.825317,90.600586,-1061.013794
73,0,30,33762,101158.390625,15.8125,562.197876,196.801758,-1115.945435
73,0,30,33763,101151.882812,15.8125,516.421509,220.605469,-1017.984009
73,0,30,33764,101145.148438,15.8125,575.930786,192.224121,-919.107056
73,0,30,33765,101154.15625,15.8125,539.309692,179.406738,-762.55188
73,0,30,33766,101162.5,15.75,618.045044,28.344727,-876.992798
73,0,30,33767,101177.820312,15.75,629.946899,45.739746,-962.136841
73,0,30,33768,101190.28125,15.75,530.154419,-42.150879,-822.061157
73,0,30,33769,101195.453125,15.75,423.03772,-91.589355,-858.682251
73,0,30,33770,101186.664062,15.75,477.96936,66.796875,-956.643677
73,0,30,33771,101176.265625,15.75,646.426392,160.180664,-1100.38147
73,0,30,33772,101172.890625,15.75,632.693481,-18.347168,-1030.801392
73,0,30,33773,101174.984375,15.75,570.437622,-65.95459,-886.148071
73,0,30,33774,101173.890625,15.75,513.674927,36.584473,-919.107056
73,0,30,33775,101171.492188,15.75,513.674927,146.447754,-723.184204
73,0,30,33776,101177.554688,15.75,454.165649,10.949707,-834.87854
73,0,30,33777,101177.070312,15.75,564.944458,152.856445,-985.940552
73,0,30,33778,101181.21875,15.75,584.170532,81.445312,-881.570435
73,0,30,33779,101191.171875,15.75,696.780396,-5.529785,-1012.490845
73,0,30,33780,101201.46875,15.8125,661.074829,90.600586,-914.529419
73,0,30,33781,101206.726562,15.8125,570.437622,107.080078,-991.433716
